stock_code,date,close
000660,2026-02-19,894000
000660,2026-02-20,949000
000660,2026-02-23,951000
000660,2026-02-24,1005000
000660,2026-02-25,1018000
000660,2026-02-26,1099000
000660,2026-02-27,1061000
000660,2026-03-03,939000
000660,2026-03-04,849000
000660,2026-03-05,941000
000660,2026-03-06,924000
000660,2026-03-09,836000
000660,2026-03-10,938000
000660,2026-03-11,955000
000660,2026-03-12,930000
000660,2026-03-13,910000
000660,2026-03-16,974000
000660,2026-03-17,970000
000660,2026-03-18,1056000
005930,2026-02-19,190000
005930,2026-02-20,190100
005930,2026-02-23,193000
005930,2026-02-24,200000
005930,2026-02-25,203500
005930,2026-02-26,218000
005930,2026-02-27,216500
005930,2026-03-03,195100
005930,2026-03-04,172200
005930,2026-03-05,191600
005930,2026-03-06,188200
005930,2026-03-09,173500
005930,2026-03-10,187900
005930,2026-03-11,190000
005930,2026-03-12,187900
005930,2026-03-13,183500
005930,2026-03-16,188700
005930,2026-03-17,193900
005930,2026-03-18,208500
035720,2026-02-19,57600
035720,2026-02-20,57900
035720,2026-02-23,58100
035720,2026-02-24,57900
035720,2026-02-25,57400
035720,2026-02-26,61400
035720,2026-02-27,62300
035720,2026-03-03,56200
035720,2026-03-04,47050
035720,2026-03-05,51200
035720,2026-03-06,53600
035720,2026-03-09,50400
035720,2026-03-10,51800
035720,2026-03-11,50900
035720,2026-03-12,50400
035720,2026-03-13,50600
035720,2026-03-16,50200
035720,2026-03-17,51300
035720,2026-03-18,51500
036930,2026-03-05,66800
036930,2026-03-06,67100
036930,2026-03-09,59900
036930,2026-03-10,70000
036930,2026-03-11,67000
036930,2026-03-12,66100
036930,2026-03-13,66100
036930,2026-03-16,64100
036930,2026-03-17,61100
036930,2026-03-18,62900
042700,2026-03-03,282000
042700,2026-03-04,259000
042700,2026-03-05,315000
042700,2026-03-06,333500
042700,2026-03-09,305000
042700,2026-03-10,324000
042700,2026-03-11,312500
042700,2026-03-12,317000
042700,2026-03-13,305500
042700,2026-03-16,300000
042700,2026-03-17,301000
042700,2026-03-18,311000
226950,2026-03-03,194200
226950,2026-03-04,163400
226950,2026-03-05,196300
226950,2026-03-06,207000
226950,2026-03-09,203000
226950,2026-03-10,186200
226950,2026-03-11,180000
226950,2026-03-12,180700
226950,2026-03-13,196000
226950,2026-03-16,186700
226950,2026-03-17,186600
226950,2026-03-18,190000
